21,6,5,0
22,21,10,0
42,41.5,15,0
75.5,40,20,0
21,6,5,0
22,21,10,0
21,6,5,0
22,21,10,0
42,41.5,15,0
75.5,40,20,0
42,41.5,15,0
75.5,40,20,0
22,7,5,0.1
24,22,10,0.1
44,43,15,0.1
76,40,20,0.1
22,7,5,0.1
24,22,10,0.1
22,7,5,0.1
24,22,10,0.1
44,43,15,0.1
76,40,20,0.1
44,43,15,0.1
76,40,20,0.1
23,8,5,0.2
26,23,10,0.2
46,44.5,15,0.2
76.5,40,20,0.2
23,8,5,0.2
26,23,10,0.2
23,8,5,0.2
26,23,10,0.2
46,44.5,15,0.2
76.5,40,20,0.2
46,44.5,15,0.2
76.5,40,20,0.2
24,9,5,0.3
28,24,10,0.3
48,46,15,0.3
77,40,20,0.3
24,9,5,0.3
28,24,10,0.3
24,9,5,0.3
28,24,10,0.3
48,46,15,0.3
77,40,20,0.3
48,46,15,0.3
77,40,20,0.3
25,10,5,0.4
30,25,10,0.4
50,47.5,15,0.4
77.5,40,20,0.4
25,10,5,0.4
30,25,10,0.4
25,10,5,0.4
30,25,10,0.4
50,47.5,15,0.4
77.5,40,20,0.4
50,47.5,15,0.4
77.5,40,20,0.4
26,11,5,0.5
32,26,10,0.5
52,49,15,0.5
78,40,20,0.5
26,11,5,0.5
32,26,10,0.5
26,11,5,0.5
32,26,10,0.5
52,49,15,0.5
78,40,20,0.5
52,49,15,0.5
78,40,20,0.5
27,12,5,0.6
34,27,10,0.6
54,50.5,15,0.6
78.5,40,20,0.6
27,12,5,0.6
34,27,10,0.6
27,12,5,0.6
34,27,10,0.6
54,50.5,15,0.6
78.5,40,20,0.6
54,50.5,15,0.6
78.5,40,20,0.6
28,13,5,0.7
36,28,10,0.7
56,52,15,0.7
79,40,20,0.7
28,13,5,0.7
36,28,10,0.7
28,13,5,0.7
36,28,10,0.7
56,52,15,0.7
79,40,20,0.7
56,52,15,0.7
79,40,20,0.7
29,14,5,0.8
38,29,10,0.8
58,53.5,15,0.8
79.5,40,20,0.8
29,14,5,0.8
38,29,10,0.8
29,14,5,0.8
38,29,10,0.8
58,53.5,15,0.8
79.5,40,20,0.8
58,53.5,15,0.8
79.5,40,20,0.8
30,15,5,0.9
40,30,10,0.9
60,55,15,0.9
80,40,20,0.9
30,15,5,0.9
40,30,10,0.9
30,15,5,0.9
40,30,10,0.9
60,55,15,0.9
80,40,20,0.9
60,55,15,0.9
80,40,20,0.9
31,16,5,1
42,31,10,1
62,56.5,15,1
80.5,40,20,1
31,16,5,1
42,31,10,1
31,16,5,1
42,31,10,1
62,56.5,15,1
80.5,40,20,1
62,56.5,15,1
80.5,40,20,1
32,17,5,1.1
44,32,10,1.1
64,58,15,1.1
80,40,20,1.1
32,17,5,1.1
44,32,10,1.1
32,17,5,1.1
44,32,10,1.1
64,58,15,1.1
80,40,20,1.1
64,58,15,1.1
80,40,20,1.1
33,18,5,1.2
46,33,10,1.2
66,59.5,15,1.2
79.5,40,20,1.2
33,18,5,1.2
46,33,10,1.2
33,18,5,1.2
46,33,10,1.2
66,59.5,15,1.2
79.5,40,20,1.2
66,59.5,15,1.2
79.5,40,20,1.2
34,19,5,1.3
48,34,10,1.3
68,61,15,1.3
79,40,20,1.3
34,19,5,1.3
48,34,10,1.3
34,19,5,1.3
48,34,10,1.3
68,61,15,1.3
79,40,20,1.3
68,61,15,1.3
79,40,20,1.3
35,20,5,1.4
50,35,10,1.4
70,62.5,15,1.4
78.5,40,20,1.4
35,20,5,1.4
50,35,10,1.4
35,20,5,1.4
50,35,10,1.4
70,62.5,15,1.4
78.5,40,20,1.4
70,62.5,15,1.4
78.5,40,20,1.4
36,21,5,1.5
52,36,10,1.5
72,64,15,1.5
78,40,20,1.5
36,21,5,1.5
52,36,10,1.5
36,21,5,1.5
52,36,10,1.5
72,64,15,1.5
78,40,20,1.5
72,64,15,1.5
78,40,20,1.5
37,22,5,1.6
54,37,10,1.6
74,65.5,15,1.6
77.5,40,20,1.6
37,22,5,1.6
54,37,10,1.6
37,22,5,1.6
54,37,10,1.6
74,65.5,15,1.6
77.5,40,20,1.6
74,65.5,15,1.6
77.5,40,20,1.6
38,23,5,1.7
56,38,10,1.7
76,67,15,1.7
77,40,20,1.7
38,23,5,1.7
56,38,10,1.7
38,23,5,1.7
56,38,10,1.7
76,67,15,1.7
77,40,20,1.7
76,67,15,1.7
77,40,20,1.7
39,24,5,1.8
58,39,10,1.8
78,68.5,15,1.8
76.5,40,20,1.8
39,24,5,1.8
58,39,10,1.8
39,24,5,1.8
58,39,10,1.8
78,68.5,15,1.8
76.5,40,20,1.8
78,68.5,15,1.8
76.5,40,20,1.8
40,25,5,1.9
60,40,10,1.9
80,70,15,1.9
76,40,20,1.9
40,25,5,1.9
60,40,10,1.9
40,25,5,1.9
60,40,10,1.9
80,70,15,1.9
76,40,20,1.9
80,70,15,1.9
76,40,20,1.9
41,26,5,2
62,41,10,2
82,71.5,15,2
75.5,40,20,2
41,26,5,2
62,41,10,2
41,26,5,2
62,41,10,2
82,71.5,15,2
75.5,40,20,2
82,71.5,15,2
75.5,40,20,2
42,27,5,2.1
64,42,10,2.1
84,73,15,2.1
75,40,20,2.1
42,27,5,2.1
64,42,10,2.1
42,27,5,2.1
64,42,10,2.1
84,73,15,2.1
75,40,20,2.1
84,73,15,2.1
75,40,20,2.1
43,28,5,2.2
66,43,10,2.2
86,74.5,15,2.2
74.5,40,20,2.2
43,28,5,2.2
66,43,10,2.2
43,28,5,2.2
66,43,10,2.2
86,74.5,15,2.2
74.5,40,20,2.2
86,74.5,15,2.2
74.5,40,20,2.2
44,29,5,2.3
68,44,10,2.3
84,76,15,2.3
74,40,20,2.3
44,29,5,2.3
68,44,10,2.3
44,29,5,2.3
68,44,10,2.3
84,76,15,2.3
74,40,20,2.3
84,76,15,2.3
74,40,20,2.3
45,30,5,2.4
70,45,10,2.4
82,77.5,15,2.4
73.5,40,20,2.4
45,30,5,2.4
70,45,10,2.4
45,30,5,2.4
70,45,10,2.4
82,77.5,15,2.4
73.5,40,20,2.4
82,77.5,15,2.4
73.5,40,20,2.4
46,31,5,2.5
72,46,10,2.5
80,79,15,2.5
73,40,20,2.5
46,31,5,2.5
72,46,10,2.5
46,31,5,2.5
72,46,10,2.5
80,79,15,2.5
73,40,20,2.5
80,79,15,2.5
73,40,20,2.5
47,32,5,2.6
74,47,10,2.6
78,80.5,15,2.6
72.5,40,20,2.6
47,32,5,2.6
74,47,10,2.6
47,32,5,2.6
74,47,10,2.6
78,80.5,15,2.6
72.5,40,20,2.6
78,80.5,15,2.6
72.5,40,20,2.6
48,33,5,2.7
76,48,10,2.7
76,82,15,2.7
72,40,20,2.7
48,33,5,2.7
76,48,10,2.7
48,33,5,2.7
76,48,10,2.7
76,82,15,2.7
72,40,20,2.7
76,82,15,2.7
72,40,20,2.7
49,34,5,2.8
78,49,10,2.8
74,83.5,15,2.8
71.5,40,20,2.8
49,34,5,2.8
78,49,10,2.8
49,34,5,2.8
78,49,10,2.8
74,83.5,15,2.8
71.5,40,20,2.8
74,83.5,15,2.8
71.5,40,20,2.8
50,35,5,2.9
80,50,10,2.9
72,85,15,2.9
71,40,20,2.9
50,35,5,2.9
80,50,10,2.9
50,35,5,2.9
80,50,10,2.9
72,85,15,2.9
71,40,20,2.9
72,85,15,2.9
71,40,20,2.9
51,36,5,3
82,51,10,3
70,86.5,15,3
70.5,40,20,3
51,36,5,3
82,51,10,3
51,36,5,3
82,51,10,3
70,86.5,15,3
70.5,40,20,3
70,86.5,15,3
70.5,40,20,3
52,37,5,3.1
84,52,10,3.1
68,85,15,3.1
70,40,20,3.1
52,37,5,3.1
84,52,10,3.1
52,37,5,3.1
84,52,10,3.1
68,85,15,3.1
70,40,20,3.1
68,85,15,3.1
70,40,20,3.1
53,38,5,3.2
86,53,10,3.2
66,83.5,15,3.2
69.5,40,20,3.2
53,38,5,3.2
86,53,10,3.2
53,38,5,3.2
86,53,10,3.2
66,83.5,15,3.2
69.5,40,20,3.2
66,83.5,15,3.2
69.5,40,20,3.2
54,39,5,3.3
88,54,10,3.3
64,82,15,3.3
69,40,20,3.3
54,39,5,3.3
88,54,10,3.3
54,39,5,3.3
88,54,10,3.3
64,82,15,3.3
69,40,20,3.3
64,82,15,3.3
69,40,20,3.3
55,40,5,3.4
90,55,10,3.4
62,80.5,15,3.4
68.5,40,20,3.4
55,40,5,3.4
90,55,10,3.4
55,40,5,3.4
90,55,10,3.4
62,80.5,15,3.4
68.5,40,20,3.4
62,80.5,15,3.4
68.5,40,20,3.4
56,41,5,3.5
92,56,10,3.5
60,79,15,3.5
68,40,20,3.5
56,41,5,3.5
92,56,10,3.5
56,41,5,3.5
92,56,10,3.5
60,79,15,3.5
68,40,20,3.5
60,79,15,3.5
68,40,20,3.5
57,42,5,3.6
90,57,10,3.6
58,77.5,15,3.6
67.5,40,20,3.6
57,42,5,3.6
90,57,10,3.6
57,42,5,3.6
90,57,10,3.6
58,77.5,15,3.6
67.5,40,20,3.6
58,77.5,15,3.6
67.5,40,20,3.6
58,43,5,3.7
88,58,10,3.7
56,76,15,3.7
67,40,20,3.7
58,43,5,3.7
88,58,10,3.7
58,43,5,3.7
88,58,10,3.7
56,76,15,3.7
67,40,20,3.7
56,76,15,3.7
67,40,20,3.7
59,44,5,3.8
86,59,10,3.8
54,74.5,15,3.8
66.5,40,20,3.8
59,44,5,3.8
86,59,10,3.8
59,44,5,3.8
86,59,10,3.8
54,74.5,15,3.8
66.5,40,20,3.8
54,74.5,15,3.8
66.5,40,20,3.8
60,45,5,3.9
84,60,10,3.9
52,73,15,3.9
66,40,20,3.9
60,45,5,3.9
84,60,10,3.9
60,45,5,3.9
84,60,10,3.9
52,73,15,3.9
66,40,20,3.9
52,73,15,3.9
66,40,20,3.9
61,46,5,4
82,61,10,4
50,71.5,15,4
65.5,40,20,4
61,46,5,4
82,61,10,4
61,46,5,4
82,61,10,4
50,71.5,15,4
65.5,40,20,4
50,71.5,15,4
65.5,40,20,4
62,47,5,4.1
80,62,10,4.1
48,70,15,4.1
65,40,20,4.1
62,47,5,4.1
80,62,10,4.1
62,47,5,4.1
80,62,10,4.1
48,70,15,4.1
65,40,20,4.1
48,70,15,4.1
65,40,20,4.1
63,48,5,4.2
78,63,10,4.2
46,68.5,15,4.2
64.5,40,20,4.2
63,48,5,4.2
78,63,10,4.2
63,48,5,4.2
78,63,10,4.2
46,68.5,15,4.2
64.5,40,20,4.2
46,68.5,15,4.2
64.5,40,20,4.2
64,49,5,4.3
76,64,10,4.3
44,67,15,4.3
64,40,20,4.3
64,49,5,4.3
76,64,10,4.3
64,49,5,4.3
76,64,10,4.3
44,67,15,4.3
64,40,20,4.3
44,67,15,4.3
64,40,20,4.3
65,50,5,4.4
74,65,10,4.4
42,65.5,15,4.4
63.5,40,20,4.4
65,50,5,4.4
74,65,10,4.4
65,50,5,4.4
74,65,10,4.4
42,65.5,15,4.4
63.5,40,20,4.4
42,65.5,15,4.4
63.5,40,20,4.4
66,51,5,4.5
72,66,10,4.5
40,64,15,4.5
63,40,20,4.5
66,51,5,4.5
72,66,10,4.5
66,51,5,4.5
72,66,10,4.5
40,64,15,4.5
63,40,20,4.5
40,64,15,4.5
63,40,20,4.5
67,52,5,4.6
70,67,10,4.6
38,62.5,15,4.6
62.5,40,20,4.6
67,52,5,4.6
70,67,10,4.6
67,52,5,4.6
70,67,10,4.6
38,62.5,15,4.6
62.5,40,20,4.6
38,62.5,15,4.6
62.5,40,20,4.6
68,53,5,4.7
68,68,10,4.7
36,61,15,4.7
62,40,20,4.7
68,53,5,4.7
68,68,10,4.7
68,53,5,4.7
68,68,10,4.7
36,61,15,4.7
62,40,20,4.7
36,61,15,4.7
62,40,20,4.7
69,54,5,4.8
66,69,10,4.8
34,59.5,15,4.8
61.5,40,20,4.8
69,54,5,4.8
66,69,10,4.8
69,54,5,4.8
66,69,10,4.8
34,59.5,15,4.8
61.5,40,20,4.8
